id;item;path;name;date;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte1
5267;schwurbelarchiv-p8jjWqlCc6;;KenFM 🎥 Videos;29072021;;;;;;
5499;schwurbelarchiv-DeHeiracR8;;KenFM NfSK (nur für Systemkritiker);5082021;;;;;;
5513;schwurbelarchiv-pWkgxoYRSL;;Systemkritiker: Ken Jebsen, Dr. Daniele Ganser, Prof. Dr. Rainer Mausfeld, Senf, Vera Lengsfeld. Heiko Schrang, Oliver Janich, T;5082021;;;;;;
5884;schwurbelarchiv-KPa6FSpN03;;COMPACT-Magazin;21082021;;;;;;
5886;schwurbelarchiv-NiRjXeF7wU;;COMPACT-TV;21082021;;;;;;
6472;schwurbelarchiv-BEk4gjOanF;;FAIR TALK TV;11092021;;;;;;
6477;schwurbelarchiv-STy2LaST43;;FAIR TALK PODCAST;11092021;;;;;;
6908;schwurbelarchiv-SMe1Ty96Um;;Björn Banane;3102021;;;;;;
7321;schwurbelarchiv-ElO2cia11P;;Epoch Times Deutschland TV - Fans;30102021;;;;;;
7568;schwurbelarchiv-3J8AKZdFZU;;Oliver Janich - Diskussion 💬;30112021;;;;;;
7577;schwurbelarchiv-HCOsNUkUaP;;Oliver Janich Top News;28112021;;;;;;
7588;schwurbelarchiv-RC14tt1MkL;;Oliver Janich Diskussion;28112021;;;;;;
7608;schwurbelarchiv-jC3iFLyc95;;Oliver Janich Backup;30112021;;;;;;
7627;schwurbelarchiv-sKnYL5eu52;;Oliver Janich öffentlich;28112021;;;;;;
7680;schwurbelarchiv-MTPWDClQaz;;Schrang TV Talk des Fankanals;4122021;;;;;;
7696;schwurbelarchiv-wQKfoNosUQ;;Schrang TV Spirit - Ausschließlich für bereits Erwachte!;4122021;;;;;;
